,jurusan,minat_bakat
0,administrasi bisnis,"['pengembangan bisnis', 'strategi pemasaran', 'kewirausahaan'] ['analitis', 'kreativitas', 'adaptasi]"
1,administrasi pendidikan,"['pengembangan kurikulum', 'pembelajaran inovatif', 'manajemen sekolah'] ['berkomunikasi dengan anak anak', 'empati', 'organisasi']"
2,agribisnis,"['pengembangan agribisnis', 'pengelolaan usaha petani', 'inovasi dalam pertanian'] ['ketahanan pertanian', 'analisis pasar', 'kreativitas']"
3,agrobisnis perikanan,"['budidaya ikan', 'konservasi perairan', 'pemasaran produk perikanan'] ['manajemen sumber daya perairan', 'kemampuan pemasaran', 'ketahanan terhadap perubahan lingkungan']"
4,agroteknologi,"['inovasi dalam pertanian', 'pengembangan varietas tanaman', 'konservasi sumber daya alam'] ['observasi', 'kemampuan analitis', 'kreativitas']"
5,akuntansi,"['akuntansi forensik', 'audit internal', 'analisis keuangan'] ['ketelitian', 'analitis', 'matematika']"
6,antropologi,"['etnografi', 'arkeologi', 'antropologi terapan'] ['observasi', 'interkultural', 'berpikir kritis', 'manajemen waktu']"
7,arkeologi,"['arkeologi maritim', 'arkeologi prasejarah', 'konservasi budaya'] ['teliti', 'kreativitas', 'membaca peta']"
8,arsitektur,"['desain bangunan hunian', 'desain bangunan komersial', 'desain landskap'] ['kreativitas ', 'visualisasi', 'teliti', 'menggambar']"
9,bahasa dan sastra indonesia,"['sastra klasik indonesia', 'sastra modern indonesia', 'kritik sastra'] ['analisis teks', 'kreativitas ', 'budaya indonesia', 'sastra']"
10,bahasa dan sastra inggris,"['sastra klasik inggris', 'sastra amerika', 'studi budaya inggris'] ['bahasa inggris', 'analisis teks', 'komunikasi interpersonal']"
11,bimbingan dan konseling,"['bimbingan karir', 'konseling remaja', 'konseling keluarga'] ['empati', 'ketahanan terhadap stres', 'pendengar yang baik']"
12,biologi,"['ekologi', 'mikrobiologi', 'genetika'] ['teliti', 'analitis', 'kreativitas']"
13,bioteknologi,"['pengembangan obat', 'pemuliaan tanaman', 'bioteknologi industri'] ['penelitian laboratorium', 'kreativitas', 'riset']"
14,budidaya perairan,"['budidaya ikan air tawar', 'pengelolaan sumber daya perikanan', 'konservasi lingkungan perairan'] ['observasi', 'manajerial', 'budidaya perairan']"
15,desain komunikasi visual,"['desain branding', 'desain editorial', 'desain web'] ['kreativitas visual', 'perangkat lunak desain', 'estetika']"
16,ekonomi pembangunan,"['pembangunan ekonomi daerah', 'kesejahteraan sosial', 'kebijakan fiskal dan moneter'] ['analisis data', 'penelitian', 'kebijakan ekonomi']"
17,farmasi,"['pengembangan obat', 'pengelolaan rantai pasokan farmasi', 'pelayanan kesehatan masyarakat'] ['komunikasi', 'analitis', 'empati']"
18,fisika,"['mempelajari rumus fisika', 'observasi dan eksperimen', 'inovasi teknologi fisika'] ['observasi', 'memecahkan masalah fisika', 'keterampilan fisika dan matematika']"
19,game animasi,"['inovasi teknologi', 'ilustrasi digital', 'desain game'] ['imajinatif', 'kreatif', 'desain', 'solutif', 'memecahkan masalah']"
20,geografi,"['mempelajari elemen bumi', 'inovasi peta', 'geografi fisik dan murni'] ['analitis', 'observasi', 'kreatifitas', 'penulisan penelitian']"
21,gizi,"['kombinasi formula makanan', 'diet sehat', 'olahraga dan gaya hidup sehat'] ['analitis', 'kombinasi formula', 'empati']"
22,teknik nuklir,"['prinsip fisika nuklir', 'observasi dan eksperimen', 'inovasi teknologi nuklir'] ['analitis', 'teliti', 'riset', 'problem solving']"
23,ilmu administrasi negara,"['pengembangan sdm', 'pengembangan ekonomi negara', 'inovasi teknologi administrasi'] ['riset', 'manajemen', 'manajemen ekonomi']"
24,ilmu hukum,"['mempelajari uu', 'pengembangan aturan', 'inovasi teknologi hukum'] ['analitis', 'public speaking']"
25,ilmu kelautan,"['pengembangan sda', 'mempelajari eksplorasi kelautan', 'inovasi teknologi pengembangan sda'] ['observasi', 'kreatif ', 'problem solving']"
26,ilmu keolahragaan,"['sosialisasi olahraga', 'pengembangan olahraga yang inovatif', 'mempelajari kandungan dan gizi makanan'] ['komunikasi', 'observasi', 'olahraga dan kesehatan']"
27,ilmu kesehatan masyarakat,"['sosialisasi kesehatan', 'mempelajari kandungan dan gizi makanan', 'pengambangan inovasi kesehatan'] ['empati', 'komunikasi', 'kesehatan dan gizi', 'analisis']"
28,ilmu komputer,"['pengembangan teknologi komputer', 'mempelajari bahasa komputer', 'observasi hardware komputer'] ['eknologi', 'matematika', 'analisis']"
29,ilmu komunikasi,"['inovasi teknologi komunikasi', 'public speaking', 'menulis jurnal'] ['komunikasi', 'teknologi', 'menulis']"
30,ilmu lingkungan,"['konservasi lingkungan', 'inovasi teknologi untuk lingkungan', 'pengembangan sda'] ['empati', 'observasi', 'pengembangan sda']"
31,ilmu pemerintahan,"['pengembangan sdm', 'mempelajari uu', 'observasi permasalahan negara'] ['berorganisasi', 'aturan dan uu', 'pengambangan sdm']"
32,ilmu perpustakaan,"['multimedia', 'inovasi teknologi', 'observasi buku' ['komunikasi', 'observasi', 'menulis']"
33,ilmu politik,"['pengembangan peran politik', 'sosialisasi politik', 'mempelajari uu'] ['analisis', 'berorganisasi', 'aturan dan uu']"
34,ilmu sejarah,"['observasi peninggalan bersejarah', 'pengembangan teknologi penelitian bersejarah', 'sosialisasi sejarah yang inovatif'] ['menulis', 'observasi', 'penelitian', 'analisis']"
35,ilmu tanah,"['konservasi pertanahan', 'inovasi teknologi pertanahan', 'pengembangan nilai tanah'] ['penelitian', 'observasi', 'problem solving']"
36,jurnalistik,"['mencari informasi', 'menulis', 'minat dalam berita'] ['komunikasi', 'berfikir kritis', 'problem solving']"
37,kedokteran,"['ilmu pengetahuan dan kesehatan', 'menjaga kesehatan masyarakat', 'menolong sesama'] ['komunikasi', 'berfikir sistematis', 'analisis']"
38,kehutanan,"['empati pada orang lain', 'tertarik pada ilmu kesehatan', 'menolong sesama'] ['klinis', 'multitasking', 'managemen waktu', 'ketahanan emosi']"
39,keperawatan,"['kesehatan masyarakat', 'ilmu sosial dan kesehatan', 'menolong sesama'] ['riset', 'managemen proyek', 'ketahanan analisis data']"
40,kesehatan masyarakat,"['kepedulian sosial', 'pemberdayaan', 'sistem sosial dan kebijakan'] ['mengelola konflik', 'pemecahan masalah', 'komunikasi']"
41,kesejahteraan sosial,"['ilmu pengetahuan', 'zat dan molekul', 'kimia'] ['berfikir kritis', 'pemecahan maslah', 'komunikasi']"
42,kimia,"['akuntansi', 'bisnis', 'mengelola sdm'] ['analisis ', 'organisasi', 'pengembangan diri dan tim']"
43,manajemen,"['promosi', 'bisnis', 'pemasaran'] ['penjualan', 'digital marketing', 'merek dan citra']"
44,manajemen pemasaran,"['lingkungan dan sda', 'laut', 'ekosistem laut'] ['memecakan masalah ', 'analisis', 'berfikir kritis']"
45,manajemen sumber daya perairan,"['matematika', 'penyelesaian masalah', 'penerapan matematika'] ['ketahanan terhadap frustasi ', 'komunikasi', 'berfikir kritis']"
46,matematika,"['tertarik pada laut', 'konservasi alam', 'berlayar'] ['berenang ', 'analisis', 'teknologi']"
47,oseanografi,"['teknologi informasi', 'solusi teknologi', 'sistem'] ['komunikasi ', 'analisis', 'coding']"
48,sistem informasi,"['teknologi', 'pembelajaran digital', 'pengembangan manusia'] ['komunikasi ', 'analisis', 'teliti', 'akurasi']"
49,pendidikan administrasi perkantoran,"['pendidikan', 'pembelajaran digital', 'keuangan'] ['organisasi ', 'layanan pelanggan', 'kolaborasi']"
50,pendidikan akuntansi,"['analisis data', 'perhitungan', 'keuangan'] ['analisis', 'penyelesaian masalah', 'mengelola waktu']"
51,pendidikan bahasa inggris,"['bahasa inggris', 'hubungan internasional', 'pada budaya dan sastra', 'pengajaran bahasa inggris', 'penerjemahan', 'studi sastra inggris'] ['listening', 'komunikasi', 'budaya asing', 'bahasa inggris']"
52,pendidikan bahasa jerman,"['bahasa jerman', 'pengembangan bahasa', 'budaya luar', 'pengajaran bahasa jerman ', 'penerjemahan', 'studi sastra jerman'] ['listening', 'komunikasi', 'budaya asing', 'bahasa jerman']"
53,pendidikan bahasa mandarin,"['pengajaran bahasa mandarin', 'penerjemahan', 'studi sastra mandarin', 'bahasa mandarin'] ['komunikasi', 'listening', 'bahasa mandarin', 'budaya asing']"
54,pendidikan biologi,"['ekologi', 'genetika', 'biologi molekuler'] ['observasi', 'analisis', 'presentasi']"
55,pendidikan ekonomi,"['ekonomi makro', 'ekonomi mikro', 'pengajaran ekonomi'] ['analitis', 'presentasi', 'interpersonal']"
56,pendidikan fisika,"['fisika mekanika', 'fisika termal', 'fisika modern'] ['analitis', 'penelitian laboratorium', 'kreativitas']"
57,pendidikan geografi,"['geografi fisik', 'geografi manusia', 'geografi lingkungan'] ['observasi', 'analitis', 'kreativitas']"
58,pendidikan ilmu pengetahuan alam,"['biologi', 'kimia', 'fisika'] ['observasi', 'analitis', 'eksperimen']"
59,pendidikan ilmu pengetahuan sosial,"['sosiologi', 'sejarah', 'antropologi'] ['analitis', 'komunikasi, 'presentasi']"
60,pendidikan kimia,"['kimia anorganik', 'kimia organik', 'kimia fisik'] ['analitis', 'penelitian laboratorium', 'kreativitas']"
61,pendidikan luar biasa,"['pendidikan inklusif', 'pendidikan autisme', 'pendidikan tunanetra', 'pendidikan tunarungu'] ['empati', 'kesabaran', 'kreativitas']"
62,pendidikan luar sekolah,"['pendidikan informal', 'pendidikan masyarakat', 'pendidikan keterampilan hidup'] ['kreativitas', 'organisasi', 'adaptasi']"
63,pendidikan matematika,"['matematika', 'pemodelan matematika', 'riset matematika'] ['analitis', 'kreativitas', 'teliti']"
64,pendidikan profesi apoteker,"['farmasi klinis', 'farmasi industri', 'manajemen farmasi'] ['komunikasi', 'klinis', 'teliti']"
65,pendidikan sejarah,"['sejarah lokal', 'sejarah dunia', 'sejarah budaya'] ['penelitian', 'analitis', 'komunikasi']"
66,pendidikan seni rupa,"['lukisan', 'seni patung', 'seni instalasi'] ['kreativitas', 'artistik', 'teliti']"
67,pendidikan seni tari dan musik,"['tarian tradisional', 'musik klasik', 'seni pertunjukan modern'] ['artistik', 'koordinasi motorik', 'kreativitas']"
68,pendidikan tata niaga,"['manajemen bisnis', 'administrasi perkantoran', 'pemasaran'] ['komunikasi', 'analitis', 'organisasi']"
69,penjaskes,"['sepak bola', 'bulu tangkis', 'renang', 'kesehatan dan kebugaran fisik'] ['olahraga', 'instruksional', 'motivasi']"
70,penyuluhan pertanian,"['pengembangan pertanian', 'pertanian organik', konservasi tanah'] ['komunikasi', 'pertanian', 'penyuluhan']"
71,perikanan tangkap,"['penelitian perikanan', 'konservasi sumber daya laut', 'pengelolaan perikanan'] ['navigasi', 'nelayan', 'ekologi laut']"
72,perpustakaan dan ilmu informasi,"['pengelolaan perpustakaan', 'arsip', 'sistem informasi'] ['organisasi', 'teknologi informasi', 'komunikasi']"
73,peternakan,"['merawat hewan ternak', 'bekerja di peternakan', 'mengelola usaha pertanian'] ['perawatan hewan', 'mengelola peternakan', 'teliti']"
74,pgpaud,"['berinteraksi dengan anak anak', 'merancang kegiatan', 'pengembangan pendidikan anak usia dini'] ['komunikasi', 'kreativitas', 'peka dengan anak anak']"
75,pgsd,"['mengajar anak usia dini', 'berinteraksi dengan anak usia dini', 'merancang pembelajaran perkembangan anak'] ['komunikasi', 'kreativitas', 'peka dengan anak anak']"
76,ppkn,"['politik', 'hukum', 'isu kewarganegaraan', 'pemahaman nilai nilai pancasila dan konstitusi'] ['sosial dan politik', 'kepemimpinan', 'analisi', 'kewarganegaraan']"
77,profesi dokter,"['ilmu pengetahuan dan kesehatan', 'profesi medis', 'penelitian penyakit'] ['memecahkan maslah', 'ketangguhan mental', 'empati', 'komunikasi']"
78,proteksi tanaman,"['pertanian', 'tanaman', 'lingkungan hidup', 'pencegahan hama] ['pertanian', 'berkebun', 'analisi tanaman', 'identifikasi maslah tanamn']"
79,psikologi,"['memahami perilaku manusia', 'menagatasi pisikologis', 'mengontrol emosi'] ['pemahaman emosi', 'kepekaan emosi', 'empati']"
80,sastra indonesia,"['literatur', 'budaya', 'bahasa indonesia', 'karya sastra'] ['membaca', 'menulis', 'bahasa dan sastra', 'analisis']"
81,sastra inggris,"['literatur', 'budaya', 'bahasa inggris', 'karya sastra'] ['membaca', 'menulis', 'bahasa dan sastra', 'analisis']"
82,sastra prancis,"['literatur', 'budaya, 'bahasa prancis', 'karya sastra'] ['membaca' 'menulis', 'bahasa dan sastra', 'analisis']"
83,sosiologi,"['struktur sosial', 'pola pola interaksi manusia', 'dinamika masyarakat', 'isu sosial'] ['struktur sosial', 'kepekaan isu sosial', 'analisis']"
84,statistika,"['matematika', 'analisis data', 'penelitian ilmiah', 'penggalian data'] ['matematika' 'analisis data', 'pola dalam data', 'statistik']"
85,tata boga,"['memasak', 'menciptakan resep makanan', 'eksplorasi masakan'] ['memasak', 'kreativitas', 'teliti']"
86,tata busana,"['desain', 'estetika', 'sejarah dan budaya', 'industri fashion'] ['desain', 'komunikasi', 'kreativitas', 'jahit', 'branding']"
87,teknik elektro,"['mikrokontroler' 'sistem embedded', 'tenologi', 'komunikasi dan jaringan', 'pemrograman] ['teknologi dan sains', 'kreativitas, 'inovasi', 'matematika', 'fisika', 'analitis']"
88,teknik elektronika,"['elektronika', 'praktis desain', 'perakitan', 'pemrograman mikrokontroler', 'tenologi'] ['elektronika', 'desain', perakitan', 'pemrograman mikrokontroler', 'tenologi', 'komunikasi', 'analitis', ' kerja lapangan']"
89,teknik geofisika,"['eksplorasi alam', 'sains dan matematika', 'ilmu bumi', 'tenologi'] ['komputer', 'desain', 'ilmu fisika', 'matematika', 'komunikasi', 'analitis', 'problem solving']"
90,teknik geologi,"['sains dan matematika', 'ilmu bumi', 'tenologi', 'analitis', 'observasi', 'kreatifitas'] ['pengolahan data', 'laboratorium', 'geologi', 'kreativitas', 'inovasi', 'komunikasi', 'analisis spasial', 'pemecahan masalah']"
91,teknik industri,"['optimasi proses produksi', 'analisis data dan statistik', 'manajemen rantai pasokan', 'kualitas dan pengendalian produksi'] ['pemodelan dan simulasi', 'statistik', 'analisis data, 'manajemen proyek', 'manajemen rantai pasokan', 'komunikasi']"
92,teknik informatika,"['pengembangan teknologi komputer', 'mempelajari bahasa pemrograman', 'observasi hardware komputer'] ['pengembangan perangkat lunak', 'analisis data', 'pengembangan web', 'keamanan informasi', 'pemrograman', 'komunikasi']"
93,teknik kelautan,"['teknologi maritim', 'pelayaran dan navigasi', 'teknologi akuatik', 'energi laut'] ['pemecahan masalah', 'manajemen proyek', 'kemampuan teknikal', 'keselamatan maritim', 'pelayaran dan navigasi', 'komunikasi']"
94,teknik mesin,"['kendaraan dan transportasi', 'robotika', 'otomatisasi', 'mekanika', 'dinamika', 'desain dan rekayasa'] ['desain', 'pemodelan dan simulasi', 'komunikasi', 'analitis', 'manufaktur']"
95,teknik pertambangan,"['rekayasa pertambangan', 'teknologi dan mesin pertambangan', 'konservasi lingkungan', 'manajemen proyek', 'geologi dan geofisika'] ['geologi', 'analitis', 'proses pertambangan', 'komunikasi']"
96,teknik rekayasa infrastruktur dan lingkungan,"['konservasi lingkungan', 'pembangunan infrastruktur', 'pengelolaan limbah', 'analisis risiko bencana', 'pengelolaan limbah'] ['infrastruktur', 'lingkungan', 'analitis', 'peraturan dan kebijakan lingkungan', 'komunikasi']"
97,teknik sipil,"['desain bangunan', 'desain komersial', 'desain landskap'] ['desain', 'analisis struktur', 'bahan konstruksi', 'konstruksi', 'komunikasi']"
98,teknologi hasil perikanan,"['kualitas produk', 'pemeliharaan dan budidaya', 'penelitian dan pengembangan', 'teknologi pengolahan makanan'] ['kualitas dan keamanan pangan', 'manajemen produksi', 'pemrosesan dan pengawetan', 'analitis']"
99,teknologi pendidikan,"['pendidikan digital', 'desain instruksional', 'analisis data pembelajaran', 'penelitian teknologi pendidikan', teknologi pembelajaran] ['pendidikan', 'desain pembelajaran', 'manajemen kelas', 'pelatihan dan pengembangan', 'kolaborasi', 'komunikasi']"
100,seni rupa,"['kritikalitas dan penalaran visual', 'pengamatan visual', 'kreativitas dan inovasi', 'keterampilan artistik', 'ekspresi kreatif'] ['kreativitas', 'kemahiran desain', 'kemampuan komunikasi visual']"
